day,susceptible,infected,recovered,dead,newInfections,cumulativeInfections
0,999950,50,0,0,0,0
1,999882,110,8,0,68,68
2,999749,234,17,0,133,201
3,999543,424,33,0,206,407
4,999265,660,74,1,278,685
5,998900,966,131,3,365,1050
6,998431,1366,197,6,469,1519
7,997804,1871,316,9,627,2146
8,997094,2431,460,15,710,2856
9,996245,3081,652,22,849,3705
10,995312,3784,878,26,933,4638
11,994288,4508,1174,30,1024,5662
12,993162,5286,1516,36,1126,6788
13,991891,6103,1961,45,1271,8059
14,990491,6977,2476,56,1400,9459
15,988948,7929,3052,71,1543,11002
16,987305,8924,3687,84,1643,12645
17,985569,9932,4398,101,1736,14381
18,983593,11105,5188,114,1976,16357
19,981614,12182,6066,138,1979,18336
20,979490,13313,7029,168,2124,20460
21,977156,14539,8109,196,2334,22794
22,974796,15694,9285,225,2360,25154
23,972345,16871,10526,258,2451,27605
24,969747,18160,11809,284,2598,30203
25,967023,19386,13272,319,2724,32927
26,964193,20575,14875,357,2830,35757
27,961180,21844,16583,393,3013,38770
28,958099,23145,18310,446,3081,41851
29,954800,24522,20190,488,3299,45150
30,951316,25916,22219,549,3484,48634
31,947714,27349,24334,603,3602,52236
32,944017,28771,26553,659,3697,55933
33,940226,30251,28783,740,3791,59724
34,936392,31634,31178,796,3834,63558
35,932378,33159,33617,846,4014,67572
36,928374,34457,36259,910,4004,71576
37,924134,35866,39015,985,4240,75816
38,919909,37234,41804,1053,4225,80041
39,915635,38524,44729,1112,4274,84315
40,911233,39848,47725,1194,4402,88717
41,906686,41126,50907,1281,4547,93264
42,902007,42393,54238,1362,4679,97943
43,897186,43708,57659,1447,4821,102764
44,892422,44826,61233,1519,4764,107528
45,887524,46052,64815,1609,4898,112426
46,882511,47315,68462,1712,5013,117439
47,877424,48479,72286,1811,5087,122526
48,872298,49624,76170,1908,5126,127652
49,867098,50700,80185,2017,5200,132852
50,861755,51800,84324,2121,5343,138195
51,856221,53156,88397,2226,5534,143729
52,850725,54484,92454,2337,5496,149225
53,845170,55574,96818,2438,5555,154780
54,839603,56673,101164,2560,5567,160347
55,833901,57669,105738,2692,5702,166049
56,828241,58578,110388,2793,5660,171709
57,822441,59461,115189,2909,5800,177509
58,816554,60549,119861,3036,5887,183396
59,810551,61627,124667,3155,6003,189399
60,804575,62590,129556,3279,5976,195375
61,798535,63461,134611,3393,6040,201415
62,792392,64248,139811,3549,6143,207558
63,786228,65148,144934,3690,6164,213722
