day,susceptible,infected,recovered,dead,newInfections,cumulativeInfections
0,999950,50,0,0,0,0
1,999870,123,7,0,80,80
2,999736,246,16,2,134,214
3,999517,451,30,2,219,433
4,999200,729,68,3,317,750
5,998789,1086,122,3,411,1161
6,998277,1499,219,5,512,1673
7,997674,1950,362,14,603,2276
8,996931,2544,507,18,743,3019
9,996107,3191,679,23,824,3843
10,995167,3874,933,26,940,4783
11,994110,4617,1237,36,1057,5840
12,992958,5419,1573,50,1152,6992
13,991685,6269,1982,64,1273,8265
14,990276,7127,2525,72,1409,9674
15,988682,8142,3092,84,1594,11268
16,987019,9117,3760,104,1663,12931
17,985274,10087,4520,119,1745,14676
18,983403,11121,5335,141,1871,16547
19,981391,12244,6198,167,2012,18559
20,979276,13385,7140,199,2115,20674
21,977000,14572,8201,227,2276,22950
22,974584,15770,9385,261,2416,25366
23,972139,16937,10622,302,2445,27811
24,969568,18139,11957,336,2571,30382
25,966885,19373,13370,372,2683,33065
26,964092,20565,14934,409,2793,35858
27,961120,21902,16514,464,2972,38830
28,958052,23110,18320,518,3068,41898
29,954861,24334,20238,567,3191,45089
30,951659,25535,22187,619,3202,48291
31,948261,26785,24279,675,3398,51689
32,944688,28078,26493,741,3573,55262
33,941019,29396,28785,800,3669,58931
34,937311,30722,31131,836,3708,62639
35,933445,32050,33616,889,3866,66505
36,929510,33338,36201,951,3935,70440
37,925405,34589,39004,1002,4105,74545
38,921244,35967,41719,1070,4161,78706
39,917055,37278,44523,1144,4189,82895
40,912729,38510,47525,1236,4326,87221
41,908227,39791,50683,1299,4502,91723
42,903584,41139,53887,1390,4643,96366
43,898865,42393,57276,1466,4719,101085
44,894006,43788,60679,1527,4859,105944
45,889001,45181,64190,1628,5005,110949
46,883866,46581,67847,1706,5135,116084
47,878709,47854,71631,1806,5157,121241
48,873394,49234,75460,1912,5315,126556
49,868058,50597,79332,2013,5336,131892
50,862670,51905,83302,2123,5388,137280
51,857269,53077,87440,2214,5401,142681
52,851604,54386,91692,2318,5665,148346
53,845824,55785,95962,2429,5780,154126
54,839924,57133,100392,2551,5900,160026
55,834008,58394,104929,2669,5916,165942
56,828073,59452,109667,2808,5935,171877
57,821958,60745,114370,2927,6115,177992
58,815625,62017,119284,3074,6333,184325
59,809418,63085,124297,3200,6207,190532
60,803002,64389,129293,3316,6416,196948
61,796536,65603,134409,3452,6466,203414
62,789924,66798,139696,3582,6612,210026
63,783386,67899,144992,3723,6538,216564
64,776704,68948,150509,3839,6682,223246
65,769877,70225,155923,3975,6827,230073
66,762947,71314,161593,4146,6930,237003
67,755924,72407,167375,4294,7023,244026
68,749010,73417,173140,4433,6914,250940
69,741871,74516,179011,4602,7139,258079
70,734676,75653,184922,4749,7195,265274
71,727446,76737,190918,4899,7230,272504
72,720174,77634,197117,5075,7272,279776
73,712893,78551,203336,5220,7281,287057
74,705510,79570,209536,5384,7383,294440
75,698057,80436,215966,5541,7453,301893
76,690655,81243,222400,5702,7402,309295
77,683346,81796,229013,5845,7309,316604
